date,equity,cash,n_positions,exposure,drawdown
2021-03-27,100000.0,100000.0,0,0.0,0.0
2021-03-28,100000.0,100000.0,0,0.0,0.0
2021-03-29,100000.0,100000.0,0,0.0,0.0
2021-03-30,100000.0,100000.0,0,0.0,0.0
2021-03-31,100000.0,100000.0,0,0.0,0.0
2021-04-01,100000.0,100000.0,0,0.0,0.0
2021-04-02,100000.0,100000.0,0,0.0,0.0
2021-04-03,100000.0,100000.0,0,0.0,0.0
2021-04-04,100000.0,100000.0,0,0.0,0.0
2021-04-05,100000.0,100000.0,0,0.0,0.0
2021-04-06,100000.0,100000.0,0,0.0,0.0
2021-04-07,100000.0,100000.0,0,0.0,0.0
2021-04-08,100000.0,100000.0,0,0.0,0.0
2021-04-09,100000.0,100000.0,0,0.0,0.0
2021-04-10,100000.0,100000.0,0,0.0,0.0
2021-04-11,100000.0,100000.0,0,0.0,0.0
2021-04-12,100000.0,100000.0,0,0.0,0.0
2021-04-13,100000.0,100000.0,0,0.0,0.0
2021-04-14,100000.0,100000.0,0,0.0,0.0
2021-04-15,100000.0,100000.0,0,0.0,0.0
2021-04-16,100000.0,100000.0,0,0.0,0.0
2021-04-17,100000.0,100000.0,0,0.0,0.0
2021-04-18,100000.0,100000.0,0,0.0,0.0
2021-04-19,100000.0,100000.0,0,0.0,0.0
2021-04-20,100000.0,100000.0,0,0.0,0.0
2021-04-21,100000.0,100000.0,0,0.0,0.0
2021-04-22,100000.0,100000.0,0,0.0,0.0
2021-04-23,100000.0,100000.0,0,0.0,0.0
2021-04-24,100000.0,100000.0,0,0.0,0.0
2021-04-25,100000.0,100000.0,0,0.0,0.0
2021-04-26,100000.0,100000.0,0,0.0,0.0
2021-04-27,100000.0,100000.0,0,0.0,0.0
2021-04-28,100000.0,100000.0,0,0.0,0.0
2021-04-29,100000.0,100000.0,0,0.0,0.0
2021-04-30,100000.0,100000.0,0,0.0,0.0
2021-05-01,100000.0,100000.0,0,0.0,0.0
2021-05-02,100000.0,100000.0,0,0.0,0.0
2021-05-03,100000.0,100000.0,0,0.0,0.0
2021-05-04,100000.0,100000.0,0,0.0,0.0
2021-05-05,100000.0,100000.0,0,0.0,0.0
2021-05-06,100000.0,100000.0,0,0.0,0.0
2021-05-07,100000.0,100000.0,0,0.0,0.0
2021-05-08,100000.0,100000.0,0,0.0,0.0
2021-05-09,100000.0,100000.0,0,0.0,0.0
2021-05-10,100000.0,100000.0,0,0.0,0.0
2021-05-11,100000.0,100000.0,0,0.0,0.0
2021-05-12,100000.0,100000.0,0,0.0,0.0
2021-05-13,100000.0,100000.0,0,0.0,0.0
2021-05-14,100000.0,100000.0,0,0.0,0.0
